tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,OnlineSecurity,Churn
52,45.47,2364.44,Two year,Electronic check,No,No,Yes
15,104.09,1561.35,Two year,Mailed check,No,Yes,No
61,23.84,1454.24,One year,Mailed check,No,No,Yes
21,110.18,2313.78,One year,Mailed check,DSL,No,No
24,66.15,1587.6,Month-to-month,Mailed check,Fiber optic,Yes,Yes
3,83.72,251.16,Month-to-month,Credit card,DSL,No,Yes
22,85.94,1890.68,Two year,Credit card,Fiber optic,Yes,No
53,109.51,5804.03,Two year,Electronic check,Fiber optic,Yes,Yes
2,83.67,167.34,Month-to-month,Mailed check,DSL,No,Yes
30,81.39,2441.7,Month-to-month,Credit card,No,Yes,Yes
38,26.67,1013.46,One year,Electronic check,Fiber optic,No,No
2,71.84,143.68,Month-to-month,Mailed check,No,Yes,Yes
64,35.02,2241.28,Month-to-month,Bank transfer,DSL,Yes,Yes
60,93.74,5624.4,Two year,Credit card,No,No,No
21,71.22,1495.62,Month-to-month,Electronic check,Fiber optic,Yes,Yes
33,88.02,2904.66,Two year,Bank transfer,Fiber optic,Yes,No
58,24.17,1401.86,Month-to-month,Mailed check,Fiber optic,Yes,Yes
22,28.48,626.56,One year,Mailed check,DSL,Yes,No
49,91.63,4489.87,Month-to-month,Mailed check,Fiber optic,Yes,Yes
59,27.21,1605.39,Month-to-month,Credit card,DSL,Yes,No
42,27.13,1139.46,Month-to-month,Electronic check,No,Yes,Yes
60,21.21,1272.6,Two year,Bank transfer,Fiber optic,Yes,Yes
15,115.65,1734.75,One year,Electronic check,Fiber optic,No,Yes
62,93.75,5812.5,Month-to-month,Credit card,Fiber optic,Yes,No
62,55.33,3430.46,Two year,Electronic check,No,Yes,No
47,49.65,2333.55,One year,Credit card,Fiber optic,No,No
62,54.97,3408.14,Two year,Mailed check,DSL,No,No
51,97.47,4970.97,Two year,Bank transfer,No,No,No
55,86.14,4737.7,One year,Mailed check,No,Yes,No
64,38.52,2465.28,Month-to-month,Electronic check,No,No,Yes
3,37.41,112.23,Two year,Mailed check,No,No,No
51,29.84,1521.84,Two year,Bank transfer,No,Yes,Yes
7,86.03,602.21,Month-to-month,Mailed check,DSL,Yes,Yes
21,96.44,2025.24,Month-to-month,Bank transfer,No,No,No
39,46.5,1813.5,One year,Bank transfer,Fiber optic,No,No
18,22.09,397.62,One year,Mailed check,No,Yes,No
4,28.22,112.88,One year,Credit card,No,Yes,No
60,116.79,7007.4,Month-to-month,Electronic check,No,Yes,No
14,49.54,693.56,Two year,Credit card,No,Yes,Yes
9,96.92,872.28,Two year,Credit card,No,Yes,Yes
53,82.47,4370.91,One year,Mailed check,DSL,No,No
2,58.19,116.38,Month-to-month,Electronic check,DSL,Yes,No
60,40.57,2434.2,Two year,Electronic check,No,Yes,Yes
71,32.14,2281.94,One year,Credit card,DSL,Yes,Yes
44,81.5,3586.0,Two year,Mailed check,Fiber optic,Yes,Yes
8,97.46,779.68,Two year,Electronic check,No,Yes,Yes
47,84.39,3966.33,Month-to-month,Credit card,Fiber optic,No,No
35,73.03,2556.05,Month-to-month,Electronic check,Fiber optic,Yes,Yes
36,24.2,871.2,Two year,Mailed check,No,No,No
50,116.85,5842.5,One year,Mailed check,Fiber optic,Yes,No
4,99.87,399.48,Month-to-month,Mailed check,Fiber optic,No,Yes
2,49.28,98.56,Two year,Electronic check,Fiber optic,No,Yes
6,118.0,708.0,Month-to-month,Bank transfer,No,Yes,Yes
54,80.19,4330.26,Month-to-month,Electronic check,No,Yes,Yes
4,78.24,312.96,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
54,94.81,5119.74,Two year,Mailed check,No,Yes,No
63,101.18,6374.34,One year,Credit card,No,Yes,No
18,85.65,1541.7,One year,Bank transfer,Fiber optic,No,Yes
44,32.81,1443.64,One year,Mailed check,No,Yes,Yes
34,53.83,1830.22,Month-to-month,Mailed check,DSL,Yes,No
62,112.81,6994.22,Two year,Bank transfer,No,No,Yes
14,42.46,594.44,Month-to-month,Credit card,DSL,Yes,No
48,57.22,2746.56,One year,Mailed check,Fiber optic,No,Yes
15,63.21,948.15,One year,Bank transfer,No,Yes,No
62,63.94,3964.28,Two year,Credit card,Fiber optic,No,No
40,81.29,3251.6,Month-to-month,Credit card,Fiber optic,Yes,No
53,114.31,6058.43,One year,Mailed check,Fiber optic,No,No
24,44.07,1057.68,Two year,Electronic check,Fiber optic,No,Yes
26,32.15,835.9,Month-to-month,Electronic check,Fiber optic,Yes,Yes
60,39.75,2385.0,Month-to-month,Mailed check,No,Yes,Yes
41,108.69,4456.29,One year,Credit card,DSL,Yes,Yes
29,84.58,2452.82,One year,Mailed check,No,No,Yes
15,48.59,728.85,Month-to-month,Bank transfer,No,No,No
45,101.59,4571.55,Month-to-month,Electronic check,No,No,Yes
65,106.14,6899.1,One year,Bank transfer,No,Yes,No
71,104.65,7430.15,Month-to-month,Mailed check,DSL,Yes,No
9,111.89,1007.01,One year,Mailed check,No,No,No
1,45.22,45.22,Month-to-month,Credit card,Fiber optic,Yes,Yes
8,95.5,764.0,One year,Credit card,No,No,No
63,66.05,4161.15,Two year,Credit card,No,Yes,Yes
11,104.2,1146.2,One year,Bank transfer,DSL,Yes,Yes
8,92.85,742.8,One year,Credit card,DSL,No,No
35,97.64,3417.4,Two year,Mailed check,Fiber optic,Yes,No
35,85.62,2996.7,Month-to-month,Credit card,No,Yes,No
33,37.74,1245.42,Two year,Electronic check,No,Yes,Yes
5,74.5,372.5,One year,Credit card,No,Yes,No
41,118.47,4857.27,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
28,113.74,3184.72,Two year,Electronic check,DSL,No,Yes
7,24.32,170.24,Month-to-month,Electronic check,Fiber optic,Yes,Yes
12,36.48,437.76,Month-to-month,Electronic check,No,No,Yes
34,33.17,1127.78,Two year,Bank transfer,DSL,Yes,Yes
33,92.6,3055.8,Month-to-month,Mailed check,DSL,Yes,Yes
48,101.78,4885.44,Two year,Credit card,Fiber optic,No,Yes
23,41.35,951.05,One year,Electronic check,DSL,No,Yes
62,70.59,4376.58,Month-to-month,Electronic check,DSL,Yes,Yes
37,104.07,3850.59,One year,Electronic check,No,Yes,No
44,93.28,4104.32,One year,Mailed check,No,No,Yes
35,74.22,2597.7,Month-to-month,Mailed check,DSL,No,Yes
65,79.03,5136.95,Two year,Bank transfer,DSL,No,No
47,70.84,3329.48,Month-to-month,Mailed check,Fiber optic,No,Yes
3,49.75,149.25,One year,Credit card,Fiber optic,Yes,Yes
1,76.5,76.5,One year,Bank transfer,DSL,Yes,No
5,88.89,444.45,Two year,Bank transfer,No,Yes,No
14,107.33,1502.62,Month-to-month,Credit card,DSL,Yes,Yes
27,83.63,2258.01,One year,Credit card,DSL,Yes,No
9,96.11,864.99,One year,Credit card,No,No,Yes
15,36.01,540.15,One year,Bank transfer,No,No,No
42,66.16,2778.72,Two year,Bank transfer,Fiber optic,No,Yes
51,20.93,1067.43,One year,Bank transfer,Fiber optic,Yes,Yes
63,44.67,2814.21,One year,Credit card,Fiber optic,No,Yes
52,92.65,4817.8,Month-to-month,Credit card,Fiber optic,Yes,No
4,119.18,476.72,Month-to-month,Electronic check,No,Yes,Yes
23,29.92,688.16,One year,Mailed check,DSL,Yes,No
15,60.15,902.25,One year,Electronic check,Fiber optic,No,No
43,100.01,4300.43,Month-to-month,Credit card,Fiber optic,Yes,Yes
29,40.4,1171.6,Two year,Bank transfer,No,Yes,No
36,75.51,2718.36,Two year,Credit card,No,No,No
13,93.31,1213.03,Two year,Mailed check,DSL,Yes,No
32,81.6,2611.2,Two year,Electronic check,DSL,No,No
71,38.8,2754.8,Two year,Electronic check,No,Yes,No
59,55.54,3276.86,Two year,Bank transfer,Fiber optic,No,No
28,98.38,2754.64,Two year,Electronic check,Fiber optic,Yes,Yes
66,75.42,4977.72,Two year,Electronic check,Fiber optic,Yes,No
42,20.52,861.84,Month-to-month,Credit card,DSL,No,No
45,96.1,4324.5,Two year,Electronic check,Fiber optic,Yes,Yes
62,23.53,1458.86,Two year,Electronic check,Fiber optic,No,Yes
57,94.57,5390.49,Two year,Electronic check,No,Yes,Yes
6,40.25,241.5,One year,Bank transfer,Fiber optic,No,No
28,115.81,3242.68,Month-to-month,Bank transfer,No,Yes,Yes
28,56.79,1590.12,Month-to-month,Credit card,Fiber optic,Yes,Yes
44,52.69,2318.36,Month-to-month,Electronic check,DSL,Yes,Yes
30,34.89,1046.7,Two year,Bank transfer,Fiber optic,No,Yes
62,50.56,3134.72,Two year,Bank transfer,Fiber optic,No,No
62,107.67,6675.54,One year,Credit card,No,No,No
1,119.63,119.63,Month-to-month,Mailed check,No,No,No
27,56.83,1534.41,Two year,Electronic check,No,No,No
62,64.86,4021.32,Month-to-month,Bank transfer,Fiber optic,Yes,No
3,92.21,276.63,One year,Credit card,Fiber optic,Yes,Yes
70,108.62,7603.4,One year,Credit card,DSL,Yes,Yes
27,79.3,2141.1,One year,Credit card,Fiber optic,Yes,No
9,59.15,532.35,Month-to-month,Bank transfer,DSL,Yes,Yes
62,61.26,3798.12,Two year,Electronic check,No,No,Yes
37,89.56,3313.72,Two year,Mailed check,No,Yes,No
51,20.32,1036.32,One year,Electronic check,No,No,Yes
44,81.96,3606.24,Two year,Credit card,DSL,Yes,Yes
